,,,,,,,,,,,,,,,
REFERENCIA,R544000,SECUENCIA DE EVENTOS,"Min. Std ""D""",,1.115,"Min. Std ""D""(P&F)/1,3",,0.849548,Ciclos posibles,,269.618,P&Fi,,5.512,"Nº piezas
autonomía"
CELULA,41,Cambio de carga bandejas PP,R,593,,,,,100,1.10,6.528,   1/384,0.0170,0.015,Cambio de carga
VARIOS,42,Cumplementar parametros de control de calidad.(8),R,120,,,,,100,1.10,1.320,   1/100,0.0132,0.012,Verificación
VARIOS,43,"Modificar pantalla, seleccionar referencia de combinación.",R,50,,,,,100,1.10,0.550,   1/400,0.0014,0.001,Verificación
VARIOS,44,Etiquetas gear flow,R,150,,,,,130,1.10,2.145,   1/175,0.0123,0.011,Verificación
TORNO,45,CH.-Abrir puertas y desplazar torreta a posición de trabajo,D,92,,,,,100,1.10,1.012,   1/400,0.0025,0.002,CH
TORNO,46,"CH.-Cambio  herramientas 2º cabezal, soplando herramienta y gitando torreta.",D,930,,,,,100,1.10,10.230,   1/400,0.0256,0.023,CH
TORNO,47,"CH.- Cambio  herramientas 1º cabezal, soplando herramienta  y girando torreta.",D,678,,,,,100,1.10,7.458,   1/400,0.0186,0.017,CH
TORNO,48,"CH.- Posicionar cabezales, cerrar puertas e iniciar programa de medición.",D,70,,,,,100,1.10,0.770,   1/400,0.0019,0.002,CH
TORNO,49,CH.-Medición de herramientas.,D,250,,,,,100,1.10,2.750,   1/400,0.0069,0.006,CH
TORNO,50,"CH.- Hacer pieza y medir hasta corregir,",D,780,,,,,100,1.10,8.580,   1/400,0.0215,0.020,CH
TORNO,51,"Medir pieza en inicio de turno. MEDICIÓN=0,691",R,63,,,,,100,1.10,0.694,   1/400,0.0017,0.002,CH
VARIOS,52,Programa creces. Doble pieza de medición.,MC,230,,,,,100,1.00,2.300,   1/400,0.0058,0.006,CH
CELULA,53,Limpiar pieza y secar,R,80,,,,,110,1.12,0.986,   1/400,0.0025,0.002,Grafico
CELULA,54,"Desplazarse con pieza a verificación, apuntar referencia en papel y dejar. 
30 MTS A-119=,076+,442=0,518 + 0,115",R,57.54545455,,,,,100,1.10,0.633,   1/400,0.0016,0.001,Grafico
CELULA,55,"Coger pieza y desplazarse a celula.60 MTS G-1058=,798",R,72.54545455,,,,,100,1.10,0.798,   1/400,0.0020,0.002,Grafico
CELULA,56,"Coger pieza y desplazarse a celula. 50 MTS A-119=0,846",R,77,,,,,100,1.10,0.846,   1/400,0.0021,0.002,Grafico
TALLADORA,45,Cambio fresa madre,D,0,,,,,100,1.1,10.23,   1/2300,1,1,CH
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
